"","title","url","paper","author","text"
"45","A bhisti ruled an empire once","https://www.thehindu.com/society/history-and-culture/a-bhisti-ruled-an-empire-once/article24601760.ece","The Hindu","Amitangshu Acharya","Jadid Qabristan is just a birdsong away from Delhi Gate. The quiet lane leading to the cemetery is lined with playing squirrels and beggars sleeping under frayed blankets. The smells of meats, mangoes and muskmelons from the bazaar slowly give way to the fore… [+14749 chars]"
"46","Yellow fervour","https://www.thehindu.com/life-and-style/yellow-fervour/article24593150.ece","The Hindu","The Hindu","“In 2012, all it took was a single visit to the supermarket for the dustbin at home to overflow with use-and-throw plastic covers. Now, the bin for plastics gets filled only once in three months,” says Krishnan N Subramanian, better known as 'Manjapai Krishna… [+4190 chars]"
"47","A plate of piping hot stories, please","https://www.thehindu.com/entertainment/theatre/a-plate-of-piping-hot-stories-please/article24582240.ece","The Hindu","Parshathy J Nath","What does a sundal seller, a litti choka vendor, a momo entrepreneur and a kachori man have in common? An endless treasure trove of stories. Listen to these vibrant tales in Stand on the Street of Aruna Ganesh Ram’s Visual Respiration. Love, ambition, desires… [+4268 chars]"
"48","Notes from Siem Reap","https://www.thehindu.com/life-and-style/travel/notes-from-siem-reap/article24531728.ece","The Hindu","Prathap Nair","For years, the Cambodian city of Siem Reap lived in the shadow of Angkor Wat, one of the world’s most marvellous architectural achievements. The gateway city to Angkor Wat grew rapidly from the tourism revenue generated by the temples. Its streets are now pop… [+3867 chars]"
"49","Kidnappings and more: What haunts foot soldiers fighting $210bn debt","https://timesofindia.indiatimes.com/business/india-business/kidnappers-angry-workers-plague-a-210-billion-debt-cleanup/articleshow/65160201.cms","The Times of India",NA,"NEW DELHI: Devendra Jain was abducted one muggy Mumbai afternoon last September, whisked away in a car by angry investors of an insolvent firm he was tasked with reviving. The chartered accountant says he stood outside the firm’s midtown office that day, by a… [+6253 chars]"
"50","Kidnappers, angry workers plague a $210 billion debt cleanup","https://economictimes.indiatimes.com/industry/banking/finance/banking/kidnappers-angry-workers-plague-a-210-billion-debt-cleanup/articleshow/65157244.cms","The Times of India","Bloomberg","by Bhuma Shrivastava Devendra Jain was abducted one muggy Mumbai afternoon last September, whisked away in a car by angry investors of an insolvent firm he was tasked with reviving. The chartered accountant says he stood outside the firm’s midtown office that… [+5925 chars]"
"51","Goa takes steps to check rise in drowning deaths","https://www.thehindu.com/news/states/goa-takes-steps-to-check-rise-in-drowning-deaths/article24524379.ece","The Hindu","Special Correspondent Mumbai","Goa Tourism Minister Manohar Azgaonkar said in the Assembly on Thursday that it was of grave concern that 15 people had drowned in the State since May this year and the department had implemented steps to prevent such incidents. The Minister tabled his writte… [+1776 chars]"
"52","Biometrics a bar for entry in some Gurugram malls","https://www.thehindu.com/news/cities/Delhi/biometrics-a-bar-for-entry-in-some-gurugram-malls/article24515289.ece","The Hindu","Jaideep Deo Bhanj","Bouncers checking identity cards to verify age before letting people enter a bar is common across the world. But visitors to a mall on Gurugram’s M.G. Road need to submit their biometrics before being allowed entry to grab a drink. Post 10 p.m. at MGF Metropo… [+2894 chars]"
"53","Clean street food project to change vendor mindset","https://www.thehindu.com/news/cities/mumbai/clean-street-food-project-to-change-vendor-mindset/article24515107.ece","The Hindu","Jyoti Shelar","Mumbai: The Food and Drugs Administration (FDA) and Association of Food Scientists and Technology (AFST) are conducting a gap analysis of street food vendors at the Juhu and Girgaum chowpattys to develop them as clean street food hubs. A gap analysis assesses… [+2543 chars]"
"54","Is Modicare any better than UPA schemes?","https://economictimes.indiatimes.com/news/politics-and-nation/will-ayushman-bharat-do-better-than-its-predecessor-schemes/articleshow/65139383.cms","The Times of India","Chaitanya Kalbag","Sometime over the next few weeks — most likely in his Independence Day speech — Prime Minister Narendra Modi will formally launch what has already been billed as the world’s biggest public healthcare programme, Ayushman Bharat, or the National Health Protecti… [+5172 chars]"
"55","Transporters’ strike: Potato prices climb","https://timesofindia.indiatimes.com/city/mumbai/day-4-of-transporters-strike-potato-prices-climb-as-supply-falls-by-40/articleshow/65111423.cms","The Times of India",NA,"MUMBAI: On Monday as the nationwide transporters’ strike entered Day 4, Mumbaikars felt some heat as potato supplies dropped by up to 40% and prices climbed by Rs 2-4 per kg. Though Pune and Nashik saw a drastic drop in vegetable and fruits’ supply, traders a… [+2665 chars]"
"56","Very little upward mobility in slums: study","https://www.thehindu.com/news/cities/bangalore/very-little-upward-mobility-in-slums-study/article24496406.ece","The Hindu","Staff Reporter","For the millions who make their way to the city for a better life, slums are often their first place of residence. However, research in slums have shown that residents are sucked into a cycle of stagnancy. The seven-year project, which was conducted by Sanfor… [+5911 chars]"
"57","Palike Bazaar: Street vendors question project","https://www.thehindu.com/news/cities/bangalore/palike-bazaar-street-vendors-question-project/article24476172.ece","The Hindu","Special Correspondent","The Bruhat Bengaluru Mahanagara Palike (BBMP) has started work on the ambitious Palike Bazaar in Vijayanagar, modelled on the lines of New Delhi’s Palika Bazaar, but street vendors in the neighbourhood are unhappy with what they call an ‘ill-conceived project… [+2284 chars]"
"58","‘Create walkers’ pathway at Nanganallur pond’","https://www.thehindu.com/news/cities/chennai/create-walkers-pathway-at-nanganallur-pond/article24474192.ece","The Hindu","T.S. ATUL SWAMINATHAN","Residents of Pazhavanthangal and Nanganallur have requested the officials of Greater Chennai Corporation to lay a walkers’ pathway on the bunds of a pond located on Fourth Main Road, Nanganallur. At present, residents go for their walks on the arterial stretc… [+1417 chars]"
"59","Traffic signal out of service at Mangadu","https://www.thehindu.com/news/cities/chennai/traffic-signal-out-of-service-at-mangadu/article24474073.ece","The Hindu","D. Madhavan","With a signal remaining out of service for quite some time and no traffic police personnel around to regulate movement of motorists, the narrow triangular junction in Mangadu has become extremely unfriendly to motorists and pedestrians. The absence of speed-b… [+1233 chars]"
"60","How small ecommerce firms are trying to access local towns and cities","https://economictimes.indiatimes.com/industry/services/retail/how-small-ecommerce-firms-are-trying-to-access-local-towns-and-cities/articleshow/65062567.cms","The Times of India","Varsha Bansal","A new breed of social ecommerce and recommerce companies are looking to digitally recreate the experience of bargaining with vendors in the lanes of Bengaluru’s Commercial Street or the streets of Delhi’s Sarojini Market—in local languages. About 75% of India… [+5898 chars]"
"61","Four years later, Karnataka government yet to notify street vendor rules","https://economictimes.indiatimes.com/news/politics-and-nation/four-years-later-karnataka-government-yet-to-notify-street-vendor-rules/articleshow/65050643.cms","The Times of India","Akshatha M","Four years after the central government passed the Street Vendors Act, Karnataka is yet to notify the rules. The delay has put on hold any welfare initiatives for street vendors, a majority of who are in Bengaluru. Though the state government began drafting t… [+2521 chars]"
"62","Are insects truly the next-gen superfoods?","https://economictimes.indiatimes.com/magazines/travel/are-insects-truly-the-next-gen-superfoods/articleshow/65040348.cms","The Times of India","ET Bureau","Insects are known to be the next-gen superfoods, thanks to its high protein, low fat content. Don’t seem shocked. In fact, the ‘Fried spider’ is a regional delicacy in Cambodia. Let’s get started here — In the Cambodian town of Skuon (Cheung Prey, Kampong Cha… [+953 chars]"
"63","Street vendors give techies a difficult time","https://timesofindia.indiatimes.com/city/bengaluru/street-vendors-give-techies-a-difficult-time/articleshow/65002678.cms","The Times of India","Nithya Mandyam","BENGALURU: Whitefield is one of the highest revenue-generating areas in the city, but it is still plagued by problems like bad footpaths, street vendors and encroachment, among others. Street vendors have turned out to be a huge menace in the IT hub where tho… [+1156 chars]"
"64","FSSAI seizes 350 kg of gutka","https://www.thehindu.com/news/cities/Coimbatore/fssai-seizes-350-kg-of-gutka/article24428133.ece","The Hindu","Staff Reporter","Officials of Food Safety and Standards Authority of India (FSSAI) seized 350 kg of banned tobacco products from a warehouse at Thomas Street on Saturday. The seized products are valued around ₹2 lakh. The prohibited tobacco products (gutka) in sachets were fo… [+633 chars]"
"65","Lone English govt. school is brimming with students","https://www.thehindu.com/news/national/karnataka/lone-english-govt-school-is-brimming-with-students/article24422323.ece","The Hindu","Veerendra P.M.","At a time when government schools across the State are struggling to survive because of poor enrolment of students, one of them in Shivamogga city is seeing such an enviable rush — not for exits but for new admissions — that it has sought to add eight new cla… [+3368 chars]"
"66","Exercise to widen pavements in Kasthurba Nagar draws flak","https://www.thehindu.com/news/cities/chennai/exercise-to-widen-pavements-in-kasthurba-nagar-draws-flak/article24412608.ece","The Hindu","L. Kanthimathi","The Greater Chennai Corporation has started widening the pavements at Third Cross Street, Kasthurba Nagar, Adyar. The exercise, which is part of a larger Smart City Mission initiative, has however come in for sharp criticism from residents. Members of Kasthur… [+2686 chars]"
"67","Nine plays, three cities: 'The Hindu Theatre Fest' all set to open in August","https://www.thehindu.com/theatre-fest/nine-plays-three-cities-the-hindu-theatre-fest-all-set-to-open-in-august/article24411422.ece","The Hindu","Akhila Krishnamurthy","If theatre had a heart, it would be a large one: accommodating, open to new possibilities and welcoming of new voices. In India, we have seen this in many recent experiments — from plays highlighting our current political climate to ones that have been constr… [+9947 chars]"
"68","Panel: evict trouble-making street vendors from S.M. Street","https://www.thehindu.com/news/cities/kozhikode/panel-evict-trouble-making-street-vendors-from-sm-street/article24392617.ece","The Hindu","Staff Reporter","The Kerala State Human Rights Commission has directed the authorities to evict street vendors causing inconvenience to senior citizens and the differently-abled on S.M. Street, the city’s fabled marketplace. Commission member P. Mohanadas said in an order on … [+1600 chars]"
"69","Four Thai boys rescued from flooded cave","https://www.thehindu.com/news/international/four-thai-boys-rescued-from-flooded-cave/article24366473.ece","The Hindu","Reuters","Four of the 12 Thai schoolboys were rescued from a flooded cave on July 8 as divers launched a daring and dangerous mission to free the children and their soccer coach who have been trapped underground for more than two weeks, officials said. Thirteen foreign… [+3645 chars]"
"70","6 boys rescued from Thai cave, next phase of op to start in 10-20 hours","https://timesofindia.indiatimes.com/world/rest-of-world/thai-schoolboys-rescued-from-flooded-cave/articleshow/64907776.cms","The Times of India",NA,"CHIANG RAI: Four of 12 schoolboys have been rescued so far from a flooded Thai cave after divers launched a daring and dangerous mission to free the children and their soccer coach, who were trapped underground for more than two weeks, Thai officials said. A … [+3993 chars]"
"71","First two of Thailand soccer team rescued from cave","https://economictimes.indiatimes.com/news/international/world-news/first-two-of-thailand-soccer-team-rescued-from-cave/articleshow/64907029.cms","The Times of India","Reuters","BANGKOK: The first two schoolboys have emerged from a flooded Thai cave after divers launched a daring and dangerous mission to rescue the children and their soccer coach, who have been trapped underground for more than two weeks, a Thai official said. ""Two k… [+6397 chars]"
"72","Solution to parking problem sought","https://www.thehindu.com/news/cities/bangalore/solution-to-parking-problem-sought/article24363170.ece","The Hindu","Staff Reporter","Residents of Defence Colony in Indiranagar and HAL 2nd and 3rd Stages met traffic police officials on Saturday to discuss the issue of haphazard parking in the neighbourhood. The problem was being caused owing to a religious institution that sees a large numb… [+639 chars]"
"73","When boats replaced buses on roads","https://www.thehindu.com/news/cities/Vijayawada/when-boats-replaced-buses-on-roads/article24361911.ece","The Hindu","T. Appala NaiduMACHILIPATNAM","Nearly a decade ago, then Chief Minister Y.S. Rajasekhara Reddy himself had witnessed rescue boats replacing the buses to evacuate the people stranded in the storm water in and around the Machilipatnam bus terminus. It prompted him to speed up the ambitious d… [+811 chars]"
"74","Police to survey areas to create ‘no hawking zones’","https://www.thehindu.com/news/cities/Mangalore/police-to-survey-areas-to-create-no-hawking-zones/article24354885.ece","The Hindu","Special Correspondent","Taking their cue from the Shivamogga police, who have made a prominent road as a ‘no hawking zone’, the City Police are set to survey areas where they can have such zones. Following a call regarding problems caused to motorists because of street vendors on th… [+1898 chars]"
"75","India's Most Populous State UP Will Ban Plastic Use From 15 July, Hope People Take It Seriously","https://www.indiatimes.com/news/india/india-s-most-populous-state-up-will-ban-plastic-use-from-15-july-hope-people-take-it-seriously-348824.html","The Times of India","Kriti Gupta","Use of plastic has long been condemned by state and environmental authorities due to its ill-effects and non-decomposable nature. Devendra Fadnavis’s government had announced a plastic ban in the state from June 23. It imposed a penalty of Rs 5,000 for the fi… [+2364 chars]"
"76","More bollards sought on CSIR Road","https://www.thehindu.com/news/cities/chennai/more-bollards-sought-on-csir-road/article24350438.ece","The Hindu","T.S. ATUL SWAMINATHAN","While thanking Zone 13 of Greater Chennai Corporation for re-laying the pavements on Council of Scientific and Industrial Research (CSIR) Road, Taramani, pedestrians have sought placement of more bollards. The bollards are now few and far apart, and this may … [+1167 chars]"
"77","Encroachment removal to continue","https://www.thehindu.com/news/cities/Hyderabad/encroachment-removal-to-continue/article24343900.ece","The Hindu","Special Correspondent","The Vigilance &amp; Enforcement wing of GHMC will continue the encroachment removal drive on footpaths on Saturday. This time, the drive will be taken up between Rethibowli Junction and Aramghar Junction via Attapur, and between Kukatpally and Erragadda via M… [+1340 chars]"
"78","Beyond the Wall","https://www.thehindu.com/life-and-style/travel/beyond-the-wall/article24329789.ece","The Hindu","Chitra Deepa Anantharam","Zero-waste warriors Dedicated to a zero-waste lifestyle? You’ll love Original Unverpackt (Original Unpacked) in Kreuzberg, a refreshingly practical packaging-free store. Products are delivered to the store in bulk, then displayed in tubes and glass containers… [+3537 chars]"
"79","Karnataka to survey farmers outside institutional credit system","https://www.thehindu.com/news/national/karnataka/state-to-survey-farmers-outside-institutional-credit-system/article24324527.ece","The Hindu","Sharath S. Srivatsa","Amid discussions on farm loan waiver, which is expected to be announced in the State Budget, the government will launch a survey to identify farmers who are outside the ambit of the lending schemes of financial institutions. Of the 74 lakh farmers in the Stat… [+3502 chars]"
"80","Pavements continue to shrink","https://www.thehindu.com/news/cities/bangalore/pavements-continue-to-shrink/article24322604.ece","The Hindu","Staff Reporter","In its march for better connectivity by building flyovers, metro lines and highways, the city's planners have given pavements the short shrift. Citizen-led drives to reclaim footpaths for pedestrians appear to have made little difference as pavements continue… [+3337 chars]"
"81","Why aren’t you regulating hawkers, HC asks Commissioner","https://www.thehindu.com/news/cities/chennai/why-arent-you-regulating-hawkers-hc-asks-commissioner/article24315677.ece","The Hindu","Special Correspondent","The Madras High Court on Monday expressed its anguish over the Greater Chennai Corporation not having regulated the hawkers in the city by identifying and earmarking hawking zones that do not hinder traffic and pedestrian movement in accordance with the Stree… [+924 chars]"
"82","Commuters’ nightmare begins outside stations","https://www.thehindu.com/news/cities/Delhi/commuters-nightmare-begins-outside-stations/article24306974.ece","The Hindu","Rhea Arora","The platform at Dwarka Sector 21 metro station looked as desolate as the train that pulled into it during the evening rush hour. The crowds of commuters jostling to get in and out of the metro had long disappeared. Alighting at the deserted, dusty platform fr… [+3479 chars]"
"83","PIL opposes hawkers at Parry’s Corner","https://www.thehindu.com/news/national/tamil-nadu/pil-opposes-hawkers-at-parrys-corner/article24306870.ece","The Hindu","Mohamed Imranullah S.","Activist ‘Traffic’ K.R. Ramaswamy has filed a public interest litigation petition in the Madras High Court seeking a direction to the Commissioner of Greater Chennai Corporation to revoke the identity cards issued to a host of hawkers on NSC Bose Road at Parr… [+911 chars]"
"84","Urban Commons and the higher ideals of democracy","https://www.thehindu.com/news/cities/bangalore/urban-commons-and-the-higher-ideals-of-democracy/article24305497.ece","The Hindu","Kshithij Urs","With no such thing as a grazing land or other declared spaces of collective ownership in cities, most urban dwellers remain unacquainted with the very idea of ‘commons’. Unlike property that is privately owned, the commons, for centuries, have referred to the… [+3054 chars]"
"85","PWD to crack down on illegal street vendors","https://www.thehindu.com/news/cities/kozhikode/pwd-to-crack-down-on-illegal-street-vendors/article24295113.ece","The Hindu","Staff Reporter","Noticing an increase in attempts to encroach upon revenue land along city roads for commercial purposes, the Public Works Department (PWD) is planning to conduct an eviction drive after serving notices on suspected encroachers. Those who have illegally occupi… [+1415 chars]"
"86","Robbers target farmers and traders of K.R. Market","https://www.thehindu.com/news/cities/bangalore/robbers-target-farmers-and-traders-of-kr-market/article24293676.ece","The Hindu","K.V. Aditya Bharadwaj","Shiva Kumar, a supplier of vegetables and fruits to retail outlets in the city, was on his way to K.R. Market on Friday morning, as is his routine. “As I was driving my auto on N.R. Cross Road, two youth on a scooter blocked the way, dragged me out and threat… [+1862 chars]"
"87","Reducing plastic pollution","https://www.thehindu.com/opinion/op-ed/reducing-plastic-pollution/article24281826.ece","The Hindu","Jacob Koshy","The Plastic Waste Management Rules of 2016 are the sharpest prongs in India’s legal arsenal against plastic. The most significant aspect of the Rules is that they strengthen the concept of ‘extended producers responsibility’ whereby plastics manufacturers and… [+2288 chars]"
"88","The foodies troop into India","https://www.thehindu.com/life-and-style/food/food-tourism-in-india/article24279816.ece","The Hindu","RUTH DSOUZA PRABHU","India is tough to package. Especially when it comes to food. Break it down State-wise for a broad introduction. Delve into regions within the State, different communities that inhabit these regions and interpretations of local dishes that change every 100 kil… [+4286 chars]"
"89","This multi-cropping farmer knows art of the deal","https://www.thehindu.com/news/cities/Tiruchirapalli/this-multi-cropping-farmer-knows-art-of-the-deal/article24268212.ece","The Hindu","L Renganathan","At a time when several farmers routinely rue lack of market conditions conducive to generating a satisfactory price for their agricultural produce, a Kumbakonam-based farmer shows how to make a decent profit by adopting innovative marketing techniques. V. Ram… [+1926 chars]"
"90","This multi-cropping farmer knows art of the deal","http://www.thehindu.com/news/cities/Tiruchirapalli/this-multi-cropping-farmer-knows-art-of-the-deal/article24268212.ece","The Hindu","L Renganathan","At a time when several farmers routinely rue lack of market conditions conducive to generating a satisfactory price for their agricultural produce, a Kumbakonam-based farmer shows how to make a decent profit by adopting innovative marketing techniques. V. Ram… [+1926 chars]"
"91","Shimla crisis offers a glimpse of what most Indian cities could be facing soon","https://economictimes.indiatimes.com/news/politics-and-nation/shimla-crisis-offers-a-terrifying-glimpse-of-what-most-of-our-cities-could-be-facing-in-future/articleshow/64733470.cms","The Times of India","Kshitij Bhargava","Think of Shimla and you imagine lush green hills, cool breeze and snow-capped mountains. Those who rushed to Shimla this season wanting to get away from the heat and dust of big cities were in for a rude shock — Shimla had no water. It offered a sight that on… [+10407 chars]"
"92","How women can confront and conquer urban chaos","http://www.thehindu.com/thread/reflections/how-women-can-confront-and-conquer-urban-chaos/article24192263.ece","The Hindu","Apoorva Tadepalli","“Being born a woman is my awful tragedy,” Sylvia Plath wrote in her journal in 1952. “My interest in men and their lives is often misconstrued as a desire to seduce them, or as an invitation to intimacy. My consuming desire to mingle with road crews, sailors … [+16484 chars]"
"93","Plastic ban: BMC nets Rs 4L, traders say no logic","https://mumbaimirror.indiatimes.com/mumbai/other/as-bmc-nets-rs-4-lakh-traders-say-no-logic/articleshow/64725573.cms","The Times of India",NA,"True to its warning, the BMC took off the kid gloves and cracked down on those in possession of single-use plastic items on Sunday. It made a haul of Rs 4 lakh from penalties from 80 spots, even as many traders cried foul over the “harsh” action. The civic bo… [+4174 chars]"
"94","Plastic ban: E-commerce may win extra time","https://economictimes.indiatimes.com/industry/services/retail/plastic-ban-e-commerce-may-win-extra-time/articleshow/64727318.cms","The Times of India","Supraja Srinivasan and Varsha Bansal","Online businesses in a tizzy over Maharashtra’s ban on single-use plastics appear to have won a reprieve after the state government agreed to a plea from ecommerce companies including Amazon for more time to comply with the new rule. The ban, effective from J… [+4047 chars]"
"95","Mumbai struggles to give up plastic, and a ShivSena leader shows just why","https://mumbaimirror.indiatimes.com/mumbai/cover-story/city-struggles-to-give-up-plastic-and-a-sena-leader-shows-just-why/public-works-department-minister-eknath-shinde-at-a-press-conference-in-thane-on-saturday-where-bouquets-wrapped-in-plastic-were-presented-when-the-minister-was-made-aware-that-the-plastic-ban-had-kicked-in-the-wrappings-were-removed-and-the-bouquets-presented-again/articleshow/64715978.cms","The Times of India",NA,"By Makarand Gadgil and Shruti Ganapatye Two independents supporting Sena in MLC polls given bouquets sheathed in plastic, causing much embarassment to the party behind anti-plastic campaign. On day one of enforcement of the plastic ban, a Shiv Sena minister d… [+6549 chars]"
"96","‘Paper, cloth bags in rain?’","http://www.thehindu.com/news/cities/mumbai/paper-cloth-bags-in-rain/article24243533.ece","The Hindu","The Hindu","Shopkeepers in Malad and Linking Road market in Bandra said they weren’t clear on what the ban implied, and that they were facing difficulties in selling their wares without plastic bags or wrapping. Customers, too, said they were confused. Ashish Zore, a sho… [+915 chars]"
"97","‘Paper bags tear easily’","http://www.thehindu.com/news/cities/mumbai/paper-bags-tear-easily/article24243526.ece","The Hindu","The Hindu","Retailers in Crawford Market and its vicinity had to turn several customers away as they hadn’t brought their own bags along. Several shop owners expressed concerns about the effect that the plastic ban was having on their business. Jenil Dedhia, who runs VK … [+836 chars]"
"98","Cargill attempts Limca Book of Records as part of its commitment towards sustainability","https://economictimes.indiatimes.com/news/company/corporate-trends/cargill-attempts-limca-book-of-records-as-part-of-its-commitment-towards-sustainability/articleshow/64694540.cms","The Times of India","Ipsita Basu","Cargill Business Services, a unit of Cargill India attempted to enter the prestigious Limca Book of Records today by making 27,707 paper bags in a record time. The company which provides food, agriculture, financial and industrial products and services to the… [+2238 chars]"
"99","Hefty fines to squash litterbugs","http://www.thehindu.com/news/cities/chennai/hefty-fines-to-squash-litterbugs/article24224280.ece","The Hindu","Aloysius Xavier Lopez","The Chennai Corporation proposes to effect a steep increase in the maximum fine for littering — from ₹50 to ₹25,000 in the city. The civic body has framed solid waste management bylaws under Section 349 of the Chennai City Municipal Corporation Act of 1919 to… [+2066 chars]"
"100","Why juicing THESE vegetables may be fatal for you!","https://timesofindia.indiatimes.com/life-style/health-fitness/diet/why-juicing-these-vegetables-may-be-fatal-for-you/articleshow/64681930.cms","The Times of India",NA,"If we are drinking vegetable juices, we must be really healthy right? Not so much. In fact, many vegetable juices that are touted as treatment for endless lifestyle diseases are not just harmful but may be poisonous for our bodies! A trend that has picked up … [+2578 chars]"
"101","Residents plan a makeover for Bellandur","https://bangaloremirror.indiatimes.com/bangalore/cover-story/bellandur-plans-a-makeover/residents-of-bellandur/articleshow/64640801.cms","The Times of India",NA,"By Reya Mehrotra It’s known the world over for its frothing lake. But a citizens’ group is working with the BBMP to convert Bellandur into a walkers’ paradise By this time next year, Bellandur could be a walker’s paradise. Citizens’ action group Bellandur Jot… [+9588 chars]"
"102","Are wholesale markets stalling growth of Madurai?","http://www.thehindu.com/news/cities/Madurai/are-wholesale-markets-stalling-growth-of-madurai/article24190244.ece","The Hindu","S Sundar","When Central Vegetable Market near Meenakshi Sundareswarar Temple was shifted to Mattuthavani a few years back, road users heaved a sigh of relief, as it proved to be a major reason for traffic congestion in the heart of the city. But the fruits market at Yan… [+4491 chars]"
"103","T.N. ranked 13 in hawkers’ welfare","http://www.thehindu.com/news/national/tamil-nadu/tn-ranked-13-in-hawkers-welfare/article24183326.ece","The Hindu","Aditi R.","Tamil Nadu ranks 13th in the Support for Urban Street Vendors Programme implemented under the Deendayal Antyodaya Yojana-National Urban Livelihoods Mission (DAY-NULM) scheme of the Ministry of Housing and Urban Affairs. Based on the latest Systematic Progress… [+2238 chars]"
"104","Day 13: I Ask You, Can You Live The Way I Am Living?","https://www.indiatimes.com/trending/environment/day-13-i-ask-you-can-you-live-the-way-i-am-living-347413.html","The Times of India","Shewali Tiwari","I am standing in the middle of the month, where I have spent nearly 14 days without plastic and I have been documenting my journey, but I have to tell you that it only gets tougher. I am sure you know this since I have already mentioned in all of my posts. Th… [+2863 chars]"
"105","Arabian nights: Buy souvenir and enjoy local markets in Seoul, Hong Kong, Thailand and Indonesia","https://economictimes.indiatimes.com/magazines/travel/arabian-nights-buy-souvenir-and-enjoy-local-markets-in-seoul-hong-kong-thailand-and-indonesia/articleshow/64571518.cms","The Times of India","Shireen Kanchwala","Looking for something unique to take back home when you travel is a common trait with all Indian travellers. Locally manufactured goods stand as a reminder of the destination. Souvenirs, artifacts or something as simple as a fridge magnet often narrates some … [+4779 chars]"
"106","Flaneur in the city","http://www.thehindu.com/news/cities/bangalore/flaneur-in-the-city/article24151972.ece","The Hindu","The Hindu","My first encounter with Bengaluru happened in the 80s when I was still a student. I would visit my cousins in Rajaji Nagar. At that time, Bengaluru seemed like a small town with good weather, lovely people, greenery and all the clichés. All those things that … [+4018 chars]"
"107","This Bengaluru Family Embarked On A Zero-Waste Trip To The Northeast & It's Inspiring","https://www.indiatimes.com/culture/this-bengaluru-family-embarked-on-a-zero-waste-trip-to-the-northeast-it-s-inspiring-347241.html","The Times of India","KC Archana","The use of plastic products dominates every aspect of our daily lives. From our toothbrushes to water bottles, everything has plastic. Despite numerous anti-plastic campaigns and warnings about its detrimental effects on the environment, plastic still remains… [+1360 chars]"
"108","Buy green energy devices on this online market","http://www.thehindu.com/news/national/kerala/buy-green-energy-devices-on-this-online-market/article24131243.ece","The Hindu","Special CorrespondentThiruvananthapuram","Trying to decide between a standalone solar powered unit or a grid-tied system for your house? Confused about the subsidy on a biogas plant? Afraid about being ripped off by vendors of renewable energy systems? Now you can put these concerns to rest. The Agen… [+1148 chars]"
"109","Best of both worlds","http://www.thehindu.com/society/best-of-both-worlds/article24113576.ece","The Hindu","Aishwarya Upadhye","SK Ammaji’s day begins at dawn. With several tin containers, paper cups, jars and an umbrella packed in three huge sacks, Ammaji, a resident of Allipuram, heads to Beach Road at 5 am. This has been her routine for the past two years. Ammaji is one of the seve… [+3107 chars]"
"110","A debilitating side effect","http://www.thehindu.com/news/cities/chennai/creation-of-parking-lot-on-thyagaraya-road-has-an-effect-on-surrounding-streets/article24113442.ece","The Hindu","R. Sujatha","Greater Chennai Corporation’s decision to construct a parking lot on Thyagaraya Road in Pondy Bazaar is having an effect on the surrounding streets. Around three weeks ago, clearing the decks for the project, the Corporation got a section of Singaravelu Stree… [+1684 chars]"
"111","Hygiene rating for restaurants soon","http://www.thehindu.com/news/cities/mumbai/hygiene-rating-for-restaurants-soon/article24098774.ece","The Hindu","Rhea Mistry","Mumbai: In a first, the Food and Drug Administration (FDA) will rate restaurants on the basis of hygiene and parameters like water management, kitchen upkeep, food waste management, complaint handling etc. The restaurants will be required to display the score… [+1690 chars]"
"112","Much ado about ice-cream","http://www.thehindu.com/life-and-style/food/dondurma-ice-cream-that-defies-gravity-comes-to-chennai/article24096343.ece","The Hindu","Sweta Akundi","When I reach for my ice-cream, it wiggles away like a worm. It sits on the end of a tall ladle held by our server, 25-year old Akash Kashyap, who teasingly flips the cone over and over with a nimble hand. The ice-cream, however, taunts gravity. All we wanted … [+2970 chars]"
"113","I wish I could ride a bicycle to work","http://www.thehindu.com/life-and-style/motoring/i-wish-i-could-ride-a-bicycle-to-work/article24087933.ece","The Hindu","Darshini Mahadevia","If there is a will there is a way, they say, but no matter how much I would like to, I would not risk riding a bicycle on our roads. I did ride until I was 18 years old, then obtained a driving licence, and transitioned to a moped and then a scooter. I still … [+4033 chars]"
"114","Malls are using tech to win a big share of buyers’ wallets","https://economictimes.indiatimes.com/industry/services/retail/malls-are-using-tech-to-win-a-big-share-of-buyers-wallets/articleshow/64458363.cms","The Times of India","Rasul Bailay","Starting July, consumers visiting any of the half-a-dozen malls operated by DLF will be able to use free Wi-Fi in its shopping centres. Phoenix Mills, that runs malls in various cities, including Mumbai, is looking for a tech that will help it know the moment… [+2243 chars]"
"115","Dead whale spotlights Thailand's losing battle against plastic","https://economictimes.indiatimes.com/news/environment/pollution/dead-whale-spotlights-thailands-losing-battle-against-plastic/articleshow/64448705.cms","The Times of India","Reuters","BANGKOK: A pilot whale that died after ingesting rubbish has highlighted Thailand 's losing battle against plastic, said conservationists who called for urgent measures to cut back on pollution that also worsens urban flooding. Thailand remains one of the wor… [+2922 chars]"
"116","13 Times Restaurant Owners And Food Vendors Messed With Our Food","https://www.indiatimes.com/culture/food/13-times-restaurant-owners-and-food-vendors-messed-with-our-food-346536.html","The Times of India","Shewali Tiwari","We never really take our mother’s nagging seriously, do we? We have been told innumerable times that that food we eat outside isn’t good for our health - it’s laden with germs that could make us sick, lacks nutritious elements and is cooked without giving muc… [+6364 chars]"
