"","title","url","paper","author","text"
"213","With resolve, officials get back right of way for pedestrians","http://www.thehindu.com/news/cities/Madurai/with-resolve-officials-get-back-right-of-way-for-pedestrians/article22548448.ece","The Hindu","S Sundar","People walking on the carriageway and vehicles parked on pavements are common scenes in Madurai. Except for Chithirai streets where vehicles are not allowed, this peculiar phenomenon can be witnessed on Avani Moola Streets, Masi Streets, Veli Streets, Nethaji… [+3735 chars]"
"214","Street vendors project in limbo","http://www.thehindu.com/news/cities/Thiruvananthapuram/street-vendors-project-in-limbo/article22546145.ece","The Hindu","S. R. Praveen","The process of issuing licenses to street vendors and setting up of designated vending zones in the City Corporation is now stuck without any progress being made in recent months. The latest activity on this front happened late in October last year, when date… [+2205 chars]"
"215","Angered by PM’s comment, youth protest with fritters outside BJP office","http://www.thehindu.com/news/national/karnataka/angered-by-pms-comment-youth-protest-with-fritters-outside-bjp-office/article22537977.ece","The Hindu","Special Correspondent","A group of youngsters belonging a forum named Karnataka for Employment (KFE) set up a pakoda stall in front of the BJP’s office here on Saturday. They were dressed in blue and protesting against Prime Minister Narendra Modi’s comment in a recent TV interview … [+771 chars]"
"216","Insight into tribal life","http://www.thehindu.com/news/cities/Hyderabad/insight-into-tribal-life/article22531440.ece","The Hindu","Gollapudi Srinivasa Rao","With the exclusive tribal museum becoming operational on Tuesday, devotees thronging to the historic Medaram village for the Sammakka–Saralakka jatara can now get an insight into the life and culture of Adivasi and Koya tribes. The State government spent ₹3 c… [+1428 chars]"
"217","Lower royalty payment could get Maruti an earnings upgrade","https://economictimes.indiatimes.com/markets/stocks/news/lower-royalty-payment-could-get-maruti-an-earnings-upgrade/articleshow/62660913.cms","The Times of India","Ashutosh Shyam","ET Intelligence Group: India's largest carmaker Maruti Suzuki hasn't run out of incremental earnings-growth drivers despite the steep run-up in its stock. The latest trigger for earnings growth will likely be lower royalty fees to the Japanese parent and grad… [+2807 chars]"
"218","Budget 2018 may bring larger safety net for poor","https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/budget-2018-may-bring-larger-safety-net-for-poor/articleshow/62653449.cms","The Times of India","ET Online","By N. Sundaresha Subramanian The Narendra Modi government is considering a plan to substantially increase the social security cover available for weaker sections in the Budget. If cleared, the medical insurance cover available for below-poverty-line families … [+2816 chars]"
"219","QUEENS, for freedom","http://www.thehindu.com/children/queens-for-freedom/article22520777.ece","The Hindu","Pavithra Srinivasan","September, 1943 CE Padang (open field) within Kuala Lumpur, Malaya (present-day Malaysia) Seventeen-year-old Janaki cycled slowly, mulling over everything she’d heard that week. Everyone from the customers of her father’s flourishing milk business to the stre… [+5598 chars]"
"220","New encounters","http://www.thehindu.com/entertainment/music/a-heady-cultural-mix-called-serendipity-fest/article22520120.ece","The Hindu","Kunal Ray","What should a multi-disciplinary arts festival do? Create conversations amongst the arts and artists, foster new connections, harness local talent and offer avenues of public engagement. It was heartening to see Serendipity Arts Festival (Dec 15-22) spread ac… [+5112 chars]"
"221","Street vendors’ protection rules to be notified","http://www.thehindu.com/news/cities/Delhi/street-vendors-protection-rules-to-be-notified/article22493596.ece","The Hindu","Staff Reporter","Rules for protection of street vendors and for formation of town vending committees have been framed by the Delhi government and are likely to be notified soon, according to officials. The notification of the Delhi Street Vendors (Protection of Livelihood and… [+435 chars]"
"222","Pat for Vellore’s solid waste management system","http://www.thehindu.com/news/national/tamil-nadu/pat-for-vellores-solid-waste-management-system/article22493145.ece","The Hindu","Staff Reporter","On his visit to the Fort City on Monday, Governor Banwarilal Purohit took a look at two of Vellore Corporation’s micro compost centres at Gandhi Nagar and New Bus Stand. Accompanied by Collector S.A. Raman, the Governor visited the micro compost centres where… [+2097 chars]"
